ID,Color Name,Hex (Web RGB),R,G,B,Paint Chip,Preview Image,Unlock Requirement,Color (id),Group ID,Reference Sources
4,Silver,#5A5E66,90,94,102,004_silver_5a5e66.png,004_accent_silver_5a5e66.png,,Silver (id=4),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/6e/Respray-GTAV-AccentColor-Silver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
5,Bluish Silver,#777C87,119,124,135,005_bluish-silver_777c87.png,005_accent_bluish-silver_777c87.png,Rank 9,Bluish Silver (id=5),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/9/92/Respray-GTAV-AccentColor-BluishSilver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
6,Rolled Steel,#515459,81,84,89,006_rolled-steel_515459.png,006_accent_rolled-steel_515459.png,Rank 9,Rolled Steel (id=6),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/1/15/Respray-GTAV-AccentColor-RolledSteel.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
7,Shadow Silver,#323B47,50,59,71,007_shadow-silver_323b47.png,007_accent_shadow-silver_323b47.png,Rank 9,Shadow Silver (id=7),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/60/Respray-GTAV-AccentColor-ShadowSilver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
27,Red,#690000,105,0,0,027_red_690000.png,027_accent_red_690000.png,,Red (id=27),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/7/7d/Respray-GTAV-AccentColor-Red.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
28,Torino Red,#8A0B00,138,11,0,028_torino-red_8a0b00.png,028_accent_torino-red_8a0b00.png,Rank 11,Torino Red (id=28),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/57/Respray-GTAV-AccentColor-TorinoRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
29,Formula Red,#6B0000,107,0,0,029_formula-red_6b0000.png,029_accent_formula-red_6b0000.png,Rank 11,Formula Red (id=29),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/4a/Respray-GTAV-AccentColor-FormulaRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
30,Blaze Red,#611009,97,16,9,030_blaze-red_611009.png,030_accent_blaze-red_611009.png,Rank 11,Blaze Red (id=30),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/b4/Respray-GTAV-AccentColor-BlazeRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
31,Grace Red,#4A0A0A,74,10,10,031_grace-red_4a0a0a.png,031_accent_grace-red_4a0a0a.png,Rank 11,Grace Red (id=31),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/2/25/Respray-GTAV-AccentColor-GraceRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
32,Garnet Red,#470E0E,71,14,14,032_garnet-red_470e0e.png,032_accent_garnet-red_470e0e.png,,Garnet Red (id=32),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/51/Respray-GTAV-AccentColor-GarnetRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
35,Candy Red,#630012,99,0,18,035_candy-red_630012.png,035_accent_candy-red_630012.png,50 Best laps,Candy Red (id=35),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/2/23/Respray-GTAV-AccentColor-CandyRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
36,Sunrise Orange,#802800,128,40,0,036_sunrise-orange_802800.png,036_accent_sunrise-orange_802800.png,5 Stunt Jumps,Sunrise Orange (id=36),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/63/Respray-GTAV-AccentColor-SunriseOrange.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
37,Gold,#6E4F2D,110,79,45,037_gold_6e4f2d.png,037_accent_gold_6e4f2d.png,25 Race Wins,Gold (id=37),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/3/3d/Respray-GTAV-AccentColor-Gold.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
38,Orange,#BD4800,189,72,0,038_orange_bd4800.png,038_accent_orange_bd4800.png,,Orange (id=38),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/5b/Respray-GTAV-AccentColor-Orange.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
51,Sea Green,#00211E,0,33,30,051_sea-green_00211e.png,051_accent_sea-green_00211e.png,Rank 15,Sea Green (id=51),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/0/09/Respray-GTAV-AccentColor-SeaGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
53,Bright Green,#003805,0,56,5,053_bright-green-green_003805.png,053_accent_bright-green_003805.png,,"Bright Green, Green (id=53)",Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/7/78/Respray-GTAV-AccentColor-BrightGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
54,Gasoline Green,#0B4145,11,65,69,054_gasoline-green_0b4145.png,054_accent_gasoline-green_0b4145.png,50 Slipstreams,Gasoline Green (id=54),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/67/Respray-GTAV-AccentColor-GasolineGreen.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
63,Saxon Blue,#1C2F4F,28,47,79,063_saxon-blue_1c2f4f.png,063_accent_saxon-blue_1c2f4f.png,Rank 17,Saxon Blue (id=63),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/4d/Respray-GTAV-AccentColor-SaxonBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
64,Blue,#001B57,0,27,87,064_blue-royal-blue_001b57.png,064_accent_blue_001b57.png,,"Blue, Royal Blue (id=64)",Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/5/53/Respray-GTAV-AccentColor-Blue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
65,Mariner Blue,#3B4E78,59,78,120,065_mariner-blue_3b4e78.png,065_accent_mariner-blue_3b4e78.png,Rank 17,Mariner Blue (id=65),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/6f/Respray-GTAV-AccentColor-MarinerBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
66,Harbor Blue,#272D3B,39,45,59,066_harbor-blue_272d3b.png,066_accent_harbor-blue_272d3b.png,,Harbor Blue (id=66),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/b5/Respray-GTAV-AccentColor-HarborBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
67,Diamond Blue,#95B2DB,149,178,219,067_diamond-blue_95b2db.png,067_accent_diamond-blue_95b2db.png,Rank 19,Diamond Blue (id=67),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/f/f4/Respray-GTAV-AccentColor-DiamondBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
68,Surf Blue,#3E627A,62,98,122,068_surf-blue_3e627a.png,068_accent_surf-blue_3e627a.png,Rank 19,Surf Blue (id=68),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/c/c1/Respray-GTAV-AccentColor-SurfBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
69,Nautical Blue,#1C3140,28,49,64,069_nautical-blue_1c3140.png,069_accent_nautical-blue_1c3140.png,Rank 19,Nautical Blue (id=69),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/a4/Respray-GTAV-AccentColor-NauticalBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
70,Ultra Blue,#0055C4,0,85,196,070_bright-blue-ultra-blue_0055c4.png,070_accent_ultra-blue_0055c4.png,25 Best Laps,"Bright Blue, Ultra Blue (id=70)",Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/e/e7/Respray-GTAV-AccentColor-UltraBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
71,Schafter Purple,#1A182E,26,24,46,071_schafter-purple_1a182e.png,071_accent_schafter-purple_1a182e.png,Rank 25,Schafter Purple (id=71),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/1/1f/Respray-GTAV-AccentColor-SchafterPurple.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
73,Racing Blue,#0E316D,14,49,109,073_racing-blue_0e316d.png,073_accent_racing-blue_0e316d.png,Rank 19,Racing Blue (id=73),Accent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/c/c5/Respray-GTAV-AccentColor-RacingBlue.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Dial/Accent_Color"
