ID,Color Name,Hex (Web RGB),R,G,B,Default Pearl (when purchased),Paint Chip,Preview Image,Unlock Requirement,Color (id),Group ID,Reference Sources
0,Black,#080808,8,8,8,,000_black_080808.png,(no preview),,Black (id=0),Classic,
147,Carbon Black,#080808,8,8,8,,147_carbon-black_080808.png,(no preview),Rank 7,Carbon Black (id=147),Classic,
1,Graphite,#0F0F0F,15,15,15,,001_carbon-black-graphite_0f0f0f.png,(no preview),Rank 7,Graphite (id=1),Classic,
11,Anthracite Black,#121110,18,17,16,,011_anthracite-black_121110.png,(no preview),Rank 7,Anthracite Black (id=11),Classic,
2,Black Steel,#1C1E21,28,30,33,,002_black-steel_1c1e21.png,(no preview),Rank 7,Black Steel (id=2),Classic,
3,Dark Steel,#292C2E,41,44,46,Black Steel (id=2),003_dark-steel_292c2e.png,(no preview),,Dark Steel (id=3),Classic,
4,Silver,#5A5E66,90,94,102,Silver (id=4),004_silver_5a5e66.png,(no preview),,Silver (id=4),Classic,
5,Bluish Silver,#777C87,119,124,135,Bluish Silver (id=5),005_bluish-silver_777c87.png,(no preview),Rank 9,Bluish Silver (id=5),Classic,
6,Rolled Steel,#515459,81,84,89,,006_rolled-steel_515459.png,(no preview),Rank 9,Rolled Steel (id=6),Classic,
7,Shadow Silver,#323B47,50,59,71,,007_shadow-silver_323b47.png,(no preview),Rank 9,Shadow Silver (id=7),Classic,
8,Stone Silver,#333333,51,51,51,,008_stone-silver_333333.png,(no preview),10 Race Wins,Stone Silver (id=8),Classic,
9,Midnight Silver,#1F2226,31,34,38,,009_midnight-silver_1f2226.png,(no preview),Rank 9,Midnight Silver (id=9),Classic,
10,Cast Iron Silver,#23292E,35,41,46,,010_cast-iron-silver_23292e.png,(no preview),,Cast Iron Silver (id=10),Classic,
27,Red,#690000,105,0,0,,027_red_690000.png,(no preview),,Red (id=27),Classic,
28,Torino Red,#8A0B00,138,11,0,,028_torino-red_8a0b00.png,(no preview),Rank 11,Torino Red (id=28),Classic,
29,Formula Red,#6B0000,107,0,0,,029_formula-red_6b0000.png,(no preview),Rank 11,Formula Red (id=29),Classic,
150,Lava Red,#6B0B00,107,11,0,,150_lava-red_6b0b00.png,(no preview),100 Slipstreams,Lava Red (id=150),Classic,
30,Blaze Red,#611009,97,16,9,,030_blaze-red_611009.png,(no preview),Rank 11,Blaze Red (id=30),Classic,
31,Grace Red,#4A0A0A,74,10,10,,031_grace-red_4a0a0a.png,(no preview),Rank 11,Grace Red (id=31),Classic,
32,Garnet Red,#470E0E,71,14,14,,032_garnet-red_470e0e.png,(no preview),,Garnet Red (id=32),Classic,
33,Sunset Red,#380C00,56,12,0,,033_sunset-red_380c00.png,(no preview),Rank 13,Sunset Red (id=33),Classic,
