Color Name,Hex (Web RGB),Crew Code(s),R,G,B,Color/Effect Family,Paint Chip,Preview Image,Notes,Group ID,Reference Sources
3rd Street Saints Purple,#603E94,,96,62,148,Purple,3rd-street-saints-purple_603e94.png,(no preview),,Custom,
Abyss Blue,#081432,FF,8,20,50,Blue,abyss-blue_081432.png,(no preview),,Custom,
Actavis Purp,#530CED,,83,12,237,Purple,actavis-purp_530ced.png,(no preview),,Custom,
Alfa Red,#420807,AA,66,8,7,Red,alfa-red_420807.png,(no preview),,Custom,
Alien Green,#00FF7F,,0,255,127,Green,alien-green_00ff7f.png,(no preview),,Custom,
Almost Red,#FA0C05,,250,12,5,Red,almost-red_fa0c05.png,(no preview),,Custom,
Alpina Purple,#0E0A19,AA / FF,14,10,25,Purple,alpina-purple_0e0a19.png,(no preview),,Custom,
Alpine Green,#2C3731,AA,44,55,49,Green,alpine-green_2c3731.png,(no preview),,Custom,
Amber,#3B2920,AA,59,41,32,Brown,amber_3b2920.png,(no preview),,Custom,
American Rose,#FF033E,,255,3,62,Red/Pink,american-rose_ff033e.png,(no preview),,Custom,
Ametrine Metallic,#17010C,EE,23,1,12,Purple,ametrine-metallic_17010c.png,(no preview),,Custom,
Ametrine Metallic II,#2C0F19,AA,44,15,25,Purple,ametrine-metallic-ii_2c0f19.png,(no preview),,Custom,
AMX Defiant Yellow I,#69641A,FF,105,100,26,Yellow/Brown,amx-defiant-yellow-i_69641a.png,(no preview),,Custom,
AMX Defiant Yellow II,#726202,FF,114,98,2,Yellow/Brown,amx-defiant-yellow-ii_726202.png,(no preview),,Custom,
Antigua Blue I,#004173,EE,0,65,115,Blue,antigua-blue-i_004173.png,(no preview),,Custom,
Antigua Blue II,#004773,EE,0,71,115,Blue,antigua-blue-ii_004773.png,(no preview),,Custom,
Antigua Blue III,#004F7F,EE,0,79,127,Blue,antigua-blue-iii_004f7f.png,(no preview),,Custom,
Apex Green,#00FE3D,,0,254,61,Green,apex-green_00fe3d.png,(no preview),,Custom,
Apple Green,#0A2E14,FF,10,46,20,Green,apple-green_0a2e14.png,(no preview),,Custom,
Appletree Green,#2B5540,AA,43,85,64,Green,appletree-green_2b5540.png,(no preview),,Custom,
Appletree Green II,#254636,EE,37,70,54,Green,appletree-green-ii_254636.png,(no preview),,Custom,
Aqua Blue,#42D0FF,,66,208,255,Blue,aqua-blue_42d0ff.png,(no preview),,Custom,
Aquamarine,#213336,FF,33,51,54,Blue/Green,aquamarine_213336.png,(no preview),,Custom,
Ara Blue Crystal Effect,#021359,AA,2,19,89,Blue,ara-blue-crystal-effect_021359.png,(no preview),,Custom,
Arabica,#211B16,AA,33,27,22,Brown,arabica_211b16.png,(no preview),,Custom,
Arctica,#A3A2A2,00,163,162,162,Grey,arctica_a3a2a2.png,(no preview),,Custom,
Ascari Blue,#021336,FF,2,19,54,Blue,ascari-blue_021336.png,(no preview),,Custom,
Atlantis Blue I,#002845,AA,0,40,69,Blue,atlantis-blue-i_002845.png,(no preview),,Custom,
Atlantis Blue II,#02334E,AA,2,51,78,Blue,atlantis-blue-ii_02334e.png,(no preview),,Custom,
Atomic Tangerine,#FF9968,,255,153,104,Orange,atomic-tangerine_ff9968.png,(no preview),,Custom,
Austin Yellow,#4A3D0D,EE,74,61,13,Yellow,austin-yellow_4a3d0d.png,(no preview),,Custom,
Austin Yellow II,#5C560A,AA / FF,92,86,10,Yellow,austin-yellow-ii_5c560a.png,(no preview),,Custom,
AzuraLost,#0E012A,,14,1,42,Blue/Purple,azuralost_0e012a.png,(no preview),,Custom,
Azure Purple,#0F0834,FF,15,8,52,Purple,azure-purple_0f0834.png,(no preview),,Custom,
Azure Purple II,#070021,EE,7,0,33,Purple,azure-purple-ii_070021.png,(no preview),,Custom,
Azurro Nuvola,#445060,FF,68,80,96,Blue/Grey,azurro-nuvola_445060.png,(no preview),,Custom,
Bahama Yellow I,#D15E00,EE,209,94,0,Yellow/Orange,bahama-yellow-i_d15e00.png,(no preview),,Custom,
Bahama Yellow II,#994500,EE,153,69,0,Yellow/Orange,bahama-yellow-ii_994500.png,(no preview),,Custom,
Bayshore Blue,#1E3B55,FF,30,59,85,Blue,bayshore-blue_1e3b55.png,(no preview),,Custom,
Behance,#053EFF,,5,62,255,Blue,behance_053eff.png,(no preview),,Custom,
Bentayga Bronze,#261C17,AA,38,28,23,Brown,bentayga-bronze_261c17.png,(no preview),,Custom,
