Vehicle Name,Livery Name,Primary Hex (Web RGB),Crew Code(s),R,G,B,Color Effect/Family,Paint Chip,Preview Image,Notes,Group ID,Vehicle Model ID,Livery  Group ID,Reference Sources
Avarus,Blue Flames (Blue),#0D4D65,AA,13,77,101,Blue,0d4d65.png,veSz2kHs.jpg,,Livery,avarus,,http://i.imgur.com/veSz2kHs.jpg
Avarus,Patriot Paintover (Red),#5D0F10,AA,93,15,16,Red,5d0f10.png,tSndnFCs.jpg,,Livery,avarus,,http://i.imgur.com/tSndnFCs.jpg
Avarus,Tropical Green (Green),#6BFA5A,,107,250,90,Green,6bfa5a.png,SAAP8aCs.jpg,,Livery,avarus,,http://i.imgur.com/SAAP8aCs.jpg
Avarus,Thin Stripe Patina (Brown),#291C18,AA,41,28,24,Brown,291c18.png,rmHCL7ls.jpg,,Livery,avarus,,http://i.imgur.com/rmHCL7ls.jpg
Avarus,Flamed Patina (Red),#650000,AA,101,0,0,Red,650000.png,oGjpzrzs.jpg,,Livery,avarus,,http://i.imgur.com/oGjpzrzs.jpg
Avarus,Fat Stripe Patina (Brown),#291C18,AA,41,28,24,Brown,291c18.png,nLMNYnis.jpg,,Livery,avarus,,http://i.imgur.com/nLMNYnis.jpg
Avarus,Blue Tribal (Blue),#03D7FF,,3,215,255,Blue,03d7ff.png,mjgDswUs.jpg,,Livery,avarus,,http://i.imgur.com/mjgDswUs.jpg
Avarus,Patriot Patina (Red),#5D1010,AA,93,16,16,Red,5d1010.png,EIsq7mps.jpg,,Livery,avarus,,http://i.imgur.com/EIsq7mps.jpg
Avarus,Red Flames (Red),#730000,AA,115,0,0,Red,730000.png,EapG05Qs.jpg,,Livery,avarus,,http://i.imgur.com/EapG05Qs.jpg
Avarus,Classic Pinstripe (Red),#CB0000,,203,0,0,Red,cb0000.png,bPzcbAJs.jpg,,Livery,avarus,,http://i.imgur.com/bPzcbAJs.jpg
Avarus,Ghost Flames (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,avarus,,
Avarus,Basic Pinstripe (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,avarus,,
Avarus,Outline Pinstripe (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,avarus,,
Avarus,Ornate Stripe (Black),#080808,AA,8,8,8,Black,080808.png,(no preview),,Livery,avarus,,
Avarus,Stealthy Snake (Black),#080808,AA,8,8,8,Black,080808.png,(no preview),,Livery,avarus,,
Avarus,Major Milspec (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,avarus,,
Avarus,Outline Pinstripe Patina (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,avarus,,
Avarus,Classic Pinstripe Patina,#CB0000,,203,0,0,,cb0000.png,(no preview),,Livery,avarus,,
Banshee 900R,Yellow Flash Livery (Yellow),#F48910,,244,137,16,Yellow,f48910.png,npMaYans.png,,Livery,banshee2,,http://i.imgur.com/npMaYans.png
Banshee 900R,Bravado Racing Drift Camo Livery (Red),#FF0000,,255,0,0,Red,ff0000.png,L5DqY7ds.png,,Livery,banshee2,,http://i.imgur.com/L5DqY7ds.png
Banshee 900R,Bravado Racing Retro Stripes Livery (Grey),#606060,FF,96,96,96,Grey,606060.png,jQyU89Ss.png,,Livery,banshee2,,http://i.imgur.com/jQyU89Ss.png
Banshee 900R,Bravado Racing Retro Stripes Livery (Blue),#314A9C,00,49,74,156,Blue,314a9c.png,CEls1XJs.jpg,,Livery,banshee2,,http://i.imgur.com/CEls1XJs.jpg
Banshee 900R,Black 900R Power Stripe Livery (Black),#000000,AA,0,0,0,Black,000000.png,(no preview),,Livery,banshee2,,
Banshee 900R,White 900R Power Stripe Livery (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,banshee2,,
Banshee 900R,Spotlight Racer Graphics Livery (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,banshee2,,
Banshee 900R,Black Flash Livery (Black),#000000,AA,0,0,0,Black,000000.png,(no preview),,Livery,banshee2,,
Banshee 900R,Black Two Tone Livery (Black),#000000,AA,0,0,0,Black,000000.png,(no preview),,Livery,banshee2,,
Banshee 900R,Bravado Racing Drift Camo Livery (Black),#000000,AA,0,0,0,Black,000000.png,(no preview),,Livery,banshee2,,
BF400,Sprunk Livery (Green),#1BD229,,27,210,41,Green,1bd229.png,k59lWGds.jpg,,Livery,bf400,,http://i.imgur.com/k59lWGds.jpg
BF400,Atomic Livery,#E48F47,,228,143,71,,e48f47.png,DcHZxY8s.jpg,,Livery,bf400,,http://i.imgur.com/DcHZxY8s.jpg
BF400,Atomic Livery (Black),#000000,AA,0,0,0,Black,000000.png,(no preview),,Livery,bf400,,
BF400,Sprunk Livery (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,bf400,,
Brioso R/A,Atomic Livery (Red),#A20000,,162,0,0,Red,a20000.png,wJgL4ogs.jpg,,Livery,brioso,,http://i.imgur.com/wJgL4ogs.jpg
Brioso R/A,Sprunk Livery,#054523,AA,5,69,35,,054523.png,rEQ3v70s.jpg,,Livery,brioso,,http://i.imgur.com/rEQ3v70s.jpg
Brioso R/A,Atomic Livery (Blue),#00569F,,0,86,159,Blue,00569f.png,e6nIsI7s.jpg,,Livery,brioso,,http://i.imgur.com/e6nIsI7s.jpg
Brioso R/A,Atomic Livery (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,brioso,,
Buccaneer Custom,Thick Gold Pinstripe (Gold),#FFCF5A,,255,207,90,Gold,ffcf5a.png,vn99Z3ps.jpg,,Livery,buccaneer2,,http://i.imgur.com/vn99Z3ps.jpg
Buccaneer Custom,Thick Gold Pinstripe (Red),#FF0808,,255,8,8,Red,ff0808.png,TTKPQGcs.jpg,,Livery,buccaneer2,,http://i.imgur.com/TTKPQGcs.jpg
Buccaneer Custom,Outline White Pinstripe (White),#D6D3C6,,214,211,198,White,d6d3c6.png,MJ7GOcrs.jpg,,Livery,buccaneer2,,http://i.imgur.com/MJ7GOcrs.jpg
Buccaneer Custom,Gold Classic Outline (Gold),#55481E,,85,72,30,Gold,55481e.png,FZC3OcBs.jpg,,Livery,buccaneer2,,http://i.imgur.com/FZC3OcBs.jpg
Buccaneer Custom,Classic White Pinstripe (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,buccaneer2,,
Buccaneer Custom,Classic Blue Pinstripe (Light Blue),#84CFF7,,132,207,247,Light Blue,84cff7.png,(no preview),,Livery,buccaneer2,,
Buccaneer Custom,Classic Blue Pinstripe (Dark Blue),#036D9D,,3,109,157,Dark Blue,036d9d.png,(no preview),,Livery,buccaneer2,,
Buccaneer Custom,Outline White Pinstripe (Shadow Outline),#D6D3C6,,214,211,198,Shadow Outline,d6d3c6.png,(no preview),,Livery,buccaneer2,1,
Buccaneer Custom,* Secondary Color + ,#CECCC3,,206,204,195,,ceccc3.png,(no preview),,Livery,buccaneer2,1,
Buccaneer Custom,Retro Scallops (Beige),#D6D3B5,,214,211,181,Beige,d6d3b5.png,(no preview),,Livery,buccaneer2,2,
Buccaneer Custom,* Secondary Color + ,#C6C7AD,,198,199,173,,c6c7ad.png,(no preview),,Livery,buccaneer2,2,
Buccaneer Custom,Green Geometric (Light Green),#94BA42,,148,186,66,Light Green,94ba42.png,(no preview),,Livery,buccaneer2,,
Buccaneer Custom,Retro Flames (Red),#FF1810,,255,24,16,Red,ff1810.png,(no preview),,Livery,buccaneer2,,
Buccaneer Custom,Retro Flames (Yellow),#FFDE00,,255,222,0,Yellow,ffde00.png,(no preview),,Livery,buccaneer2,,
Chimera,Red Flames (Red),#7E0000,AA,126,0,0,Red,7e0000.png,(no preview),,Livery,chimera,,
Chimera,Blue Flames (Blue),#1E3560,AA,30,53,96,Blue,1e3560.png,(no preview),,Livery,chimera,,
Chimera,Ghost Flames (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,chimera,,
Chimera,Basic Pinstripe (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,chimera,,
Chimera,Outline Pinstripe (White),#FFFFFF,00,255,255,255,White,ffffff.png,(no preview),,Livery,chimera,,
Chimera,Classic Pinstripe (Red),#CB0000,,203,0,0,Red,cb0000.png,(no preview),,Livery,chimera,,
Chimera,Patriot Paintover (Red),#5F0E10,AA,95,14,16,Red,5f0e10.png,(no preview),,Livery,chimera,,
Chimera,Patriot Paintover (Blue),#163EB5,,22,62,181,Blue,163eb5.png,(no preview),,Livery,chimera,,
Chimera,Blue Tribal (Turquoise),#00D3FF,,0,211,255,Turquoise,00d3ff.png,(no preview),,Livery,chimera,,
Chimera,Blue Tribal (Turquoise 2),#0097FF,,0,151,255,Turquoise,0097ff.png,(no preview),,Livery,chimera,,
Chimera,Tropical Green (Green),#6BFA5A,,107,250,90,Green,6bfa5a.png,(no preview),,Livery,chimera,,
Chimera,Ornate Stripe (Black),#080808,AA,8,8,8,Black,080808.png,(no preview),,Livery,chimera,,
Chimera,Stealthy Snake (Black),#080808,AA,8,8,8,Black,080808.png,(no preview),,Livery,chimera,,
Chimera,Major Milspec (White),#E4E0D3,00,228,224,211,White,e4e0d3.png,(no preview),,Livery,chimera,,
Chimera,Flamed Patina (Red),#7E0000,AA,126,0,0,Red,7e0000.png,(no preview),,Livery,chimera,,
Chimera,Thin Stripe Patina (Brown),#291D1B,AA,41,29,27,Brown,291d1b.png,(no preview),,Livery,chimera,,
Chimera,Thin Stripe Patina (Stripe Colour),#B8B9A5,00,184,185,165,Stripe Colour,b8b9a5.png,(no preview),,Livery,chimera,,
Chimera,Fat Stripe Patina (Brown),#291D1B,AA,41,29,27,Brown,291d1b.png,(no preview),,Livery,chimera,,
Chimera,Fat Stripe Patina (Stripe Colour),#DCDAC6,00,220,218,198,Stripe Colour,dcdac6.png,(no preview),,Livery,chimera,,
Chimera,Patriot Patina (Dark Blue),#082076,AA,8,32,118,Dark Blue,082076.png,(no preview),,Livery,chimera,,
