ID,Color Name,Hex (Web RGB),R,G,B,Default Pearl (when purchased),Paint Chip,Preview Image,Notes / Unlock Requirements,Color (id),Group ID,Reference Sources
0,Black,#080808,8,8,8,Cast Iron Silver (id=10),000_black_080808.png,(no preview),,Black (id=0),Metallic,
147,Carbon Black,#080808,8,8,8,Silver (id=4),147_carbon-black_080808.png,(no preview),Rank 7,Carbon Black (id=147),Metallic,
1,Graphite,#0F0F0F,15,15,15,Bluish Silver (id=5),001_carbon-black-graphite_0f0f0f.png,(no preview),Rank 7,Graphite (id=1),Metallic,
11,Anthracite Black,#121110,18,17,16,Black Steel (id=2),011_anthracite-black_121110.png,(no preview),Rank 7,Anthracite Black (id=11),Metallic,
2,Black Steel,#1C1E21,28,30,33,Bluish Silver (id=5),002_black-steel_1c1e21.png,(no preview),Rank 7,Black Steel (id=2),Metallic,
3,Dark Steel,#292C2E,41,44,46,Rolled Steel (id=6),003_dark-steel_292c2e.png,(no preview),,Dark Steel (id=3),Metallic,
4,Silver,#5A5E66,90,94,102,Ice White (id=111),004_silver_5a5e66.png,(no preview),,Silver (id=4),Metallic,
5,Bluish Silver,#777C87,119,124,135,Ice White (id=111),005_bluish-silver_777c87.png,(no preview),Rank 9,Bluish Silver (id=5),Metallic,
6,Rolled Steel,#515459,81,84,89,Silver (id=4),006_rolled-steel_515459.png,(no preview),Rank 9,Rolled Steel (id=6),Metallic,
7,Shadow Silver,#323B47,50,59,71,Bluish Silver (id=5),007_shadow-silver_323b47.png,(no preview),Rank 9,Shadow Silver (id=7),Metallic,
8,Stone Silver,#333333,51,51,51,Bluish Silver (id=5),008_stone-silver_333333.png,(no preview),10 Race Wins,Stone Silver (id=8),Metallic,
9,Midnight Silver,#1F2226,31,34,38,Shadow Silver (id=7),009_midnight-silver_1f2226.png,(no preview),Rank 9,Midnight Silver (id=9),Metallic,
10,Cast Iron Silver,#23292E,35,41,46,Shadow Silver (id=7),010_cast-iron-silver_23292e.png,(no preview),,Cast Iron Silver (id=10),Metallic,
