ID,Description,Color Name,Hex (Web RGB),R,G,B,Color Chip,Preview Image,Unlock Requirement,Group ID,Reference Sources
0,White Neon Lights,White,#DEDEFF,222,222,255,white_dedeff.png,,,Neon Light,
1,Blue Neon Lights,Blue,#0215FF,2,21,255,blue_0215ff.png,,,Neon Light,
2,Electric Neon Lights,Electric Blue,#0353FF,3,83,255,electric-blue_0353ff.png,,,Neon Light,
3,Mint Green Neon Lights,Mint Green,#00FF8C,0,255,140,mint-green_00ff8c.png,,,Neon Light,
4,Lime Green Neon Lights,Lime Green,#5EFF01,94,255,1,lime-green_5eff01.png,,,Neon Light,
5,Yellow Neon Lights,Yellow,#FFFF00,255,255,0,yellow_ffff00.png,,,Neon Light,
6,Golden Shower Neon Lights,Golden Shower,#FF9605,255,150,5,golden-shower_ff9605.png,,,Neon Light,
7,Orange Neon Lights,Orange,#FF3E00,255,62,0,orange_ff3e00.png,,,Neon Light,
8,Red Neon Lights,Red,#FF0101,255,1,1,red_ff0101.png,,,Neon Light,
9,Pony Pink Neon Lights,Pony Pink,#FF3264,255,50,100,pony-pink_ff3264.png,,,Neon Light,
10,Hot Pink Neon Lights,Hot Pink,#FF05BE,255,5,190,hot-pink_ff05be.png,,,Neon Light,
11,Purple Neon Lights,Purple,#2301FF,35,1,255,purple_2301ff.png,,,Neon Light,
12,Blacklight Neon Lights,Blacklight,#0F03FF,15,3,255,blacklight_0f03ff.png,,,Neon Light,
,Crew,,,,,,,,,Neon Light,
