ID,Color Name,Hex (Web RGB),R,G,B,Paint Chip,Preview Image,Unlock Requirement,Color (id),Group ID,Reference Sources
0,Black,#080808,8,8,8,000_black_080808.png,000_pearlescent_black_080808.png,,Black (id=0),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/bf/Respray-GTAV-Pearlescent-Black.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
1,Graphite,#0F0F0F,15,15,15,001_carbon-black-graphite_0f0f0f.png,001_pearlescent_graphite_0f0f0f.png,Rank 7,Graphite (id=1),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/7/70/Respray-GTAV-Pearlescent-Graphite.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
2,Black Steel,#1C1E21,28,30,33,002_black-steel_1c1e21.png,002_pearlescent_black-steel_1c1e21.png,Rank 7,Black Steel (id=2),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/1/14/Respray-GTAV-Pearlescent-BlackSteel.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
3,Dark Steel,#292C2E,41,44,46,003_dark-steel_292c2e.png,003_pearlescent_dark-steel_292c2e.png,,Dark Steel (id=3),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/a6/Respray-GTAV-Pearlescent-DarkSteel.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
4,Silver,#5A5E66,90,94,102,004_silver_5a5e66.png,004_pearlescent_silver_5a5e66.png,,Silver (id=4),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/8a/Respray-GTAV-Pearlescent-Silver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
5,Bluish Silver,#777C87,119,124,135,005_bluish-silver_777c87.png,005_pearlescent_bluish-silver_777c87.png,Rank 9,Bluish Silver (id=5),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/e/e5/Respray-GTAV-Pearlescent-BluishSilver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
6,Rolled Steel,#515459,81,84,89,006_rolled-steel_515459.png,006_pearlescent_rolled-steel_515459.png,Rank 9,Rolled Steel (id=6),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/1/1d/Respray-GTAV-Pearlescent-RolledSteel.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
7,Shadow Silver,#323B47,50,59,71,007_shadow-silver_323b47.png,007_pearlescent_shadow-silver_323b47.png,Rank 9,Shadow Silver (id=7),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/a4/Respray-GTAV-Pearlescent-ShadowSilver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
8,Stone Silver,#333333,51,51,51,008_stone-silver_333333.png,008_pearlescent_stone-silver_333333.png,10 Race Wins,Stone Silver (id=8),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/4b/Respray-GTAV-Pearlescent-StoneSilver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
9,Midnight Silver,#1F2226,31,34,38,009_midnight-silver_1f2226.png,009_pearlescent_midnight-silver_1f2226.png,Rank 9,Midnight Silver (id=9),Pearlescent,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/4/46/Respray-GTAV-Pearlescent-MidnightSilver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Respray_Colors#Pearlescent_Color"
