ID,Color Name,Hex (Web RGB),R,G,B,Paint Chip,Preview Image,Unlock Requirement,Color (id),Group ID,Reference Sources
0,Black,#080808,8,8,8,000_black_080808.png,000_wheel_black_080808.png,,Black (id=0),Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/81/Respray-GTAV-Wheel-Black.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
1,Carbon Black,#0F0F0F,15,15,15,001_carbon-black-graphite_0f0f0f.png,001_wheel_carbon-black_0f0f0f.png,Rank 7,"Graphite, Carbon Black (id=1)",Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/6d/Respray-GTAV-Wheel-CarbonBlack.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
2,Black Steel,#1C1E21,28,30,33,002_black-steel_1c1e21.png,002_wheel_black-steel_1c1e21.png,,Black Steel (id=2),Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/0/08/Respray-GTAV-Wheel-BlackSteel.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
8,Stone Silver,#333333,51,51,51,008_stone-silver_333333.png,008_wheel_stone-silver_333333.png,10 Race Wins,Stone Silver (id=8),Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/b/b5/Respray-GTAV-Wheel-StoneSilver.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
11,Anthracite Black,#121110,18,17,16,011_anthracite-black_121110.png,011_wheel_anthracite-black_121110.png,Rank 7,Anthracite Black (id=11),Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/8/8b/Respray-GTAV-Wheel-AnthraciteBlack.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
27,Red,#690000,105,0,0,027_red_690000.png,027_wheel_red_690000.png,,Red (id=27),Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/6e/Respray-GTAV-Wheel-Red.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
30,Blaze Red,#611009,97,16,9,030_blaze-red_611009.png,030_wheel_blaze-red_611009.png,Rank 7,Blaze Red (id=30),Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/a/a3/Respray-GTAV-Wheel-BlazeRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
33,Sunset Red,#380C00,56,12,0,033_sunset-red_380c00.png,033_wheel_sunset-red_380c00.png,Rank 9,Sunset Red (id=33),Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/6/61/Respray-GTAV-Wheel-SunsetRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
35,Candy Red,#630012,99,0,18,035_candy-red_630012.png,035_wheel_candy-red_630012.png,50 Best Laps,Candy Red (id=35),Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/f/f8/Respray-GTAV-Wheel-CandyRed.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
36,Sunrise Orange,#802800,128,40,0,036_sunrise-orange_802800.png,036_wheel_sunrise-orange_802800.png,5 Stunt Jumps,Sunrise Orange (id=36),Wheel,"Full Size src: https://static.wikia.nocookie.net/gtawiki/images/d/dc/Respray-GTAV-Wheel-SunriseOrange.png; 
Img Ref src: https://gta.fandom.com/wiki/Vehicle_Customization_in_GTA_V/Wheels#Wheel_Color"
